waterBodyCategory	eeaIndicator	countryCode	monitoringSiteIdentifier	seriesSpan	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
LW	Total phosphorus	DK	DKST_500029	long	0.274571	0.306321	0.28016	0.174215	0.12209	0.108382	0.087959	0.1042	0.096811	0.107618	0.086385	0.091491	0.081814	0.063003	0.071311	0.063285	0.073009	0.074188	0.086635	0.082095	0.047213	0.056	0.056			0.071643	
LW	Total phosphorus	EE	EESJA2631000	long	0.029	0.0285	0.0188	0.0483	0.017	0.0155	0.02	0.0225	0.025				0.018	0.023	0.0165	0.0192	0.0185	0.017	0.017875	0.0208	0.02375	0.024	0.02175		0.0245		
LW	Total phosphorus	EE	EESJA3463000	long	0.0142	0.052	0.0132	0.017	0.0198	0.0132	0.0283	0.015	0.0217				0.0138	0.0196	0.013039	0.0216	0.024333	0.026	0.022	0.033	0.020182	0.0222	0.0225		0.019		
LW	Total phosphorus	EE	EESJA4014000	long	0.031	0.0363	0.0253	0.0293	0.03	0.0338	0.025	0.0225	0.0325				0.0255	0.0237	0.02936	0.0296	0.021	0.027	0.0265	0.0279	0.02425	0.0234	0.031714		0.02525		
LW	Total phosphorus	EE	EESJA5001000	short					0.0278	0.0188	0.0225	0.02	0.0275	0.029			0.024	0.0253	0.0335	0.036	0.02175	0.029	0.02625	0.02825	0.02675	0.023875	0.02775		0.027		
LW	Total phosphorus	EE	EESJA6244000	long	0.04	0.06	0.03	0.02	0.03	0.02	0.0317	0.034	0.034				0.0254	0.0292	0.031336	0.0246	0.023167	0.0258	0.024	0.03	0.029833	0.029875	0.040273		0.035		
LW	Total phosphorus	EE	EESJA6793000	long	0.017	0.0187	0.1204	0.2764	0.0897	0.3403	0.145	0.125	0.2117				0.1061	0.1693	0.248054	0.1011	0.174667	0.15	0.165583	0.1701	0.0248	0.081933	0.025333		0.01525		
LW	Total phosphorus	EE	EESJA7593000	long	0.0612	0.0213	0.0168	0.033	0.0318	0.0205	0.03	0.03	0.0375				0.02		0.028	0.0285	0.0255	0.03	0.0245	0.024125	0.0225	0.026375	0.026625		0.022		
LW	Total phosphorus	EE	EESJA8471000	long		0.0536	0.051175	0.056175	0.058175	0.053025	0.0517	0.05755	0.0411	0.059675	0.05965	0.056275	0.04375	0.0489	0.013	0.039	0.036125	0.057	0.042214	0.043429	0.035667	0.030286	0.026833	0.038333	0.040857	0.046333	0.038143
LW	Total phosphorus	FI	FISW_1037	long		0.007		0.009			0.007			0.007	0.007				0.008	0.008	0.009	0.0088	0.0088	0.0084	0.0096	0.0087	0.0099	0.0105	0.011667	0.010333	0.008667
LW	Total phosphorus	FI	FISW_1039	long	0.016	0.017	0.011		0.01	0.019	0.02	0.015	0.016	0.021	0.017		0.012	0.018	0.015	0.01	0.0112	0.014	0.0084	0.0098	0.0092	0.0152	0.014	0.009667	0.009	0.0105	0.009667
LW	Total phosphorus	FI	FISW_1045	long	0.015	0.021	0.02	0.017	0.022	0.018	0.019		0.018	0.019				0.022	0.017	0.021	0.0221	0.0289	0.0208	0.0173	0.0183	0.0172	0.027	0.014	0.017	0.022	0.016
LW	Total phosphorus	FI	FISW_1048	short				0.005						0.004	0.005	0.004	0.005	0.007	0.006	0.006	0.0073	0.0102	0.0063	0.006	0.0063	0.0071			0.0062	0.00265	
LW	Total phosphorus	FI	FISW_1062	long	0.019	0.016	0.017	0.02	0.019	0.016	0.017	0.018			0.014	0.019	0.017	0.019	0.017	0.019	0.0186	0.0188	0.0171	0.016	0.0163	0.0173	0.0157	0.012	0.01374	0.015	0.0145
LW	Total phosphorus	FI	FISW_142	long	0.012	0.014		0.014	0.018	0.022	0.021	0.018	0.016	0.015	0.014	0.014				0.014	0.0134	0.0164	0.0184	0.0387	0.0208	0.0213	0.0175	0.0125	0.0155	0.0135	0.0135
LW	Total phosphorus	FI	FISW_144	long	0.017	0.02	0.018	0.017	0.017	0.02	0.021	0.023	0.022	0.021	0.022	0.024	0.021	0.026		0.017	0.0158	0.0196	0.0252	0.022	0.0258	0.0253	0.0253	0.022333	0.0215	0.0215	0.02425
LW	Total phosphorus	FI	FISW_1447	long	0.035	0.031	0.027	0.027	0.024	0.02	0.023	0.02	0.023	0.021		0.024			0.024		0.0238	0.024	0.0235	0.0195	0.023	0.0213	0.0228	0.0215	0.0188	0.022	0.01875
LW	Total phosphorus	FI	FISW_150	short												0.009	0.009	0.011		0.009	0.0126	0.0128	0.0152	0.0117	0.0103	0.0085		0.011	0.0106		
LW	Total phosphorus	FI	FISW_153	long	0.076		0.078	0.065		0.083	0.074	0.076	0.074	0.089	0.087	0.073	0.073	0.074	0.084	0.101	0.0818	0.0834	0.078	0.061	0.0577	0.065	0.0713	0.084333	0.0615	0.074	0.0665
LW	Total phosphorus	FI	FISW_154	long	0.018	0.028	0.019	0.018	0.03	0.03	0.041		0.05		0.035		0.031	0.04	0.032	0.027	0.0327	0.0537	0.0271	0.0352	0.0297		0.0302		0.0214		
LW	Total phosphorus	FI	FISW_1543	long	0.021		0.009	0.01		0.009	0.009	0.011	0.011	0.011	0.012	0.013	0.011			0.011	0.0105	0.0159	0.0138	0.0095	0.0113	0.0092		0.0085			0.00875
LW	Total phosphorus	FI	FISW_160	long			0.012	0.01		0.033	0.013	0.01	0.017	0.011	0.012	0.01		0.016	0.011	0.01	0.0116	0.0182	0.012	0.0123	0.016	0.0112	0.0207	0.008	0.0081	0.0103	0.0089
LW	Total phosphorus	FI	FISW_161	long	0.027	0.029	0.036	0.026	0.027	0.021	0.026	0.03	0.026	0.025	0.027	0.024	0.024	0.033	0.028	0.024	0.0246	0.0266	0.0271	0.0239	0.0244	0.0292	0.0229	0.015333	0.016429	0.019	0.018167
LW	Total phosphorus	FI	FISW_162	long	0.027	0.029	0.027	0.029	0.03	0.025	0.027	0.028	0.027	0.029	0.033	0.024	0.032	0.031	0.031	0.034	0.0339	0.039	0.0315	0.02	0.036	0.0253	0.023	0.028	0.0225	0.023	0.02
LW	Total phosphorus	FI	FISW_165	long		0.023	0.02	0.016	0.022	0.022	0.026	0.023	0.023	0.018	0.019	0.017	0.023	0.023	0.021	0.019	0.0195	0.0228	0.0156	0.0177	0.0183	0.0175	0.0195	0.014857	0.010783	0.016286	0.013471
LW	Total phosphorus	FI	FISW_167	long	0.028	0.029	0.03	0.028	0.025	0.025	0.027	0.027	0.027	0.03		0.035	0.023	0.027	0.0253	0.0291	0.0267	0.0282	0.0248	0.0243	0.0254	0.0301	0.0263	0.022714	0.022167	0.023333	0.022857
LW	Total phosphorus	FI	FISW_168	long	0.226	0.164	0.068	0.022	0.103	0.088	0.048	0.059	0.11		0.016	0.174		0.166	0.023	0.021	0.024	0.0765	0.0173	0.0253	0.021	0.0159	0.0287	0.0083	0.009	0.00895	0.01275
LW	Total phosphorus	FI	FISW_169	short					0.389		0.192		0.043	0.019	0.051	0.14	0.045	0.115	0.029	0.021	0.0288	0.0423	0.075	0.0287	0.0403	0.0677	0.0547	0.026	0.0215	0.026	0.0395
LW	Total phosphorus	FI	FISW_171	long	0.013	0.012	0.009	0.01				0.011		0.01	0.01		0.009	0.01	0.011	0.01	0.0115	0.0168	0.0087	0.01	0.008	0.0103	0.0088	0.008571	0.007071	0.008	0.0085
LW	Total phosphorus	FI	FISW_176	long	0.094	0.064	0.119	0.293	0.3	0.335	0.366	0.273	0.035	0.036		0.219	0.039	0.029	0.277	0.053	0.0441	0.071	0.1017	0.0533	0.0509	0.0499	0.0778	0.0315	0.0225	0.028	0.0245
LW	Total phosphorus	FI	FISW_178	long	0.015	0.014	0.012	0.013		0.012	0.014	0.014	0.016	0.014	0.017	0.018	0.023	0.019		0.014	0.017	0.0212	0.018	0.0171	0.0123	0.0123	0.016		0.0089	0.00895	0.0124
LW	Total phosphorus	FI	FISW_179	long	0.025	0.031	0.027	0.022	0.033	0.022	0.026	0.03	0.027		0.027	0.019	0.019	0.026	0.019	0.017	0.0196	0.0218	0.0196	0.0161	0.0171	0.0189	0.0207	0.013	0.014125	0.014875	0.015
LW	Total phosphorus	FI	FISW_182	short										0.006	0.007	0.009		0.01	0.011	0.01	0.0123	0.0134	0.0107	0.0113	0.0083	0.0093	0.0066	0.00685	0.007075	0.006475	0.00515
LW	Total phosphorus	FI	FISW_183	short	0.015	0.016								0.013	0.013	0.013	0.015	0.017	0.021	0.016	0.0133	0.019	0.0125	0.0103	0.0103	0.0102		0.018	0.017		
LW	Total phosphorus	FI	FISW_184	short	0.025	0.027							0.022	0.019	0.019	0.015	0.017	0.02	0.023	0.02	0.0155	0.0233	0.0175	0.0143	0.0253	0.0157	0.0143	0.02	0.0175	0.0155	0.018
LW	Total phosphorus	FI	FISW_188	long	0.031	0.048		0.035	0.034	0.034	0.055	0.033	0.035	0.037	0.065	0.03	0.035	0.043	0.038	0.034	0.0417	0.0424	0.0404	0.0445	0.0384	0.0236	0.0297	0.0211	0.02175	0.022385	0.026692
LW	Total phosphorus	FI	FISW_189	short											0.006		0.007	0.009	0.009	0.01	0.0085	0.0108	0.0066	0.007	0.0063	0.0075		0.0061	0.00725		
LW	Total phosphorus	FI	FISW_190	short	0.017	0.031							0.019		0.023	0.018	0.019	0.022	0.024	0.017	0.0298	0.0232	0.0195	0.021	0.0167	0.0142	0.0193	0.0052	0.0145	0.00925	0.00975
LW	Total phosphorus	FI	FISW_191	long	0.033	0.042	0.041	0.034	0.034	0.031	0.044	0.054	0.038	0.036	0.035	0.032	0.03	0.032		0.028	0.0309	0.0319	0.0257	0.03	0.0318	0.037	0.031	0.021	0.019333	0.024	0.02
LW	Total phosphorus	FI	FISW_194	short							0.007				0.006		0.006	0.007		0.005	0.0052	0.0048	0.0053	0.0028	0.0052	0.009	0.0064	0.005429	0.003733	0.004867	0.004333
LW	Total phosphorus	FI	FISW_195	long	0.041	0.039	0.041	0.035	0.042		0.027		0.032	0.033	0.027	0.024	0.032	0.028		0.028	0.0325			0.0275			0.02	0.025667			0.020667
LW	Total phosphorus	FI	FISW_196	long	0.034	0.057	0.046	0.042	0.045	0.041	0.037	0.061	0.048	0.053	0.047	0.041	0.051	0.061	0.059	0.052	0.0553	0.0527	0.0525	0.04		0.0418	0.044	0.041	0.042667	0.041333	0.043333
LW	Total phosphorus	FI	FISW_198	long	0.067	0.089	0.082	0.069	0.086	0.066	0.067	0.086		0.068	0.063	0.073	0.074	0.067		0.049	0.0568	0.0573	0.0592	0.0562	0.0574	0.0613	0.0579	0.045333	0.0555	0.052333	0.0464
LW	Total phosphorus	FI	FISW_199	long	0.031	0.031	0.036	0.04	0.031	0.025	0.028	0.038	0.031	0.03	0.045	0.029	0.031	0.025	0.031	0.027	0.048	0.0402	0.0494	0.0377	0.0394	0.032	0.0253	0.02195	0.0224	0.02235	0.0242
LW	Total phosphorus	FI	FISW_200	long	0.013	0.014	0.011	0.016		0.012	0.013	0.013	0.013	0.014	0.013	0.011	0.013	0.019	0.014	0.013	0.0135	0.0123	0.013	0.0143	0.0175	0.0183	0.0163	0.018	0.016	0.015667	0.014667
LW	Total phosphorus	FI	FISW_212	long	0.018	0.02	0.02	0.023	0.022	0.021	0.022	0.025	0.029	0.024	0.027	0.025	0.021	0.02	0.027	0.022	0.0272	0.0285	0.0334	0.0292	0.0248	0.0286	0.0285	0.02145	0.0165	0.0188	0.018875
LW	Total phosphorus	FI	FISW_2120	long	0.062	0.059	0.056	0.06	0.055	0.058	0.064	0.07	0.061	0.069	0.065	0.058	0.047	0.067		0.076	0.0916		0.0954			0.097			0.072333		
LW	Total phosphorus	FI	FISW_214	long	0.034	0.034	0.026	0.028	0.026	0.032	0.031	0.04	0.03	0.041		0.033	0.045	0.038	0.031	0.04	0.0545	0.0512	0.0565	0.0478	0.078	0.0707	0.0487	0.054	0.049	0.0365	0.033
LW	Total phosphorus	FI	FISW_217	long	0.074	0.081	0.171	0.079	0.099	0.088	0.129	0.224	0.098	0.075	0.234	0.218	0.087	0.139	0.125	0.138	0.085	0.1005	0.1496	0.1545	0.1075	0.1383	0.1013	0.091	0.082	0.0916	0.1126
