waterBodyCategory	eeaIndicator	countryCode	monitoringSiteIdentifier	seriesSpan	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
LW	Total phosphorus	FI	FISW_440	long				0.005	0.005	0.005	0.005	0.005	0.006	0.005		0.005		0.006			0.005			0.0035			0.0043			0.005267	
LW	Total phosphorus	FI	FISW_451	long	0.009		0.009	0.009	0.008		0.012	0.023	0.014	0.024		0.014	0.007	0.012	0.011	0.01	0.0113			0.008			0.0099				0.0062
LW	Total phosphorus	FI	FISW_452	short				0.006					0.008	0.006	0.007	0.006	0.006	0.01	0.008	0.008	0.0095	0.0109	0.0066	0.0063	0.0067			0.00675			
LW	Total phosphorus	FI	FISW_454	long	0.004	0.004		0.003	0.004	0.003		0.004	0.004		0.003	0.003	0.004		0.004	0.005	0.0063	0.0027	0.0042	0.0073	0.0063	0.0038	0.0043	0.0015	0.001375	0.00245	0.00285
LW	Total phosphorus	FI	FISW_458	short	0.005					0.004	0.005		0.004		0.005	0.004	0.005		0.004	0.005	0.0061		0.0035			0.0053		0.006	0.0035		
LW	Total phosphorus	FI	FISW_459	long	0.005		0.005	0.005	0.005	0.007	0.006		0.006	0.006	0.006	0.006		0.006		0.006	0.0074	0.0082	0.0077	0.006	0.0107	0.0077	0.0083	0.00425	0.005	0.0035	0.006
LW	Total phosphorus	FI	FISW_464	long	0.004			0.005	0.003			0.004	0.003	0.004	0.004	0.003				0.003	0.004	0.0042	0.0053	0.0041	0.0055	0.0047	0.0063	0.005357	0.003857	0.002857	0.004286
LW	Total phosphorus	FI	FISW_470	long	0.023	0.028	0.025	0.022	0.026	0.029	0.024	0.035	0.025	0.026	0.025	0.024	0.021	0.025	0.022	0.022	0.0236	0.0247	0.0234	0.0288	0.0276	0.0178	0.0213	0.01625	0.015818	0.017182	0.018455
LW	Total phosphorus	FI	FISW_471	long	0.01	0.012	0.012	0.01	0.012	0.011	0.011	0.011	0.012	0.01	0.01	0.013	0.01	0.01	0.009	0.009	0.0109	0.0102	0.011	0.01	0.0137	0.0103	0.0127	0.0085	0.007	0.0065	0.0075
LW	Total phosphorus	FI	FISW_474	long	0.005			0.006	0.006	0.005			0.005	0.005	0.005	0.005			0.005	0.005	0.0056	0.0065	0.0054	0.0086	0.0048	0.0061	0.0062	0.00575	0.00725	0.006	0.006571
LW	Total phosphorus	FI	FISW_475	long	0.008	0.007	0.007	0.008	0.007	0.005	0.006	0.007	0.006	0.006		0.006	0.006		0.006	0.005	0.0048	0.0062	0.0066	0.0081	0.0047	0.0058	0.0067	0.00625	0.007	0.00625	0.007571
LW	Total phosphorus	FI	FISW_495	long	0.009	0.009			0.01			0.009	0.011			0.008	0.009	0.009	0.008	0.008	0.01	0.0101	0.0096			0.011			0.0101	0.01015	0.0103
LW	Total phosphorus	FI	FISW_496	long	0.009	0.01				0.008		0.009	0.008		0.008	0.008	0.009		0.008	0.008	0.01			0.0087			0.0113			0.009825	
LW	Total phosphorus	FI	FISW_497	short					0.006			0.006	0.006	0.006	0.005	0.008		0.007	0.006	0.005	0.0054	0.0064	0.0058	0.0071	0.0071	0.0065	0.0084	0.007167	0.006233	0.005756	0.007312
LW	Total phosphorus	FI	FISW_499	long	0.011	0.01	0.01	0.009	0.01	0.008	0.009		0.008	0.008	0.007		0.009	0.01			0.0077	0.0088	0.01	0.0087	0.0083	0.0089	0.0108		0.008775		0.0076
LW	Total phosphorus	FI	FISW_500	long	0.021	0.018	0.018	0.014	0.012	0.014	0.012		0.011	0.01	0.008		0.01	0.011	0.009				0.0088			0.0092			0.00745		
LW	Total phosphorus	FI	FISW_504	long	0.006		0.005			0.005		0.005	0.004		0.003	0.006			0.005	0.005	0.0048		0.0048			0.005			0.00435		
LW	Total phosphorus	FI	FISW_506	long		0.012	0.01	0.01	0.01	0.008		0.01			0.009	0.007	0.009	0.01		0.008	0.0094	0.0082	0.0072	0.0087	0.01		0.0097	0.011	0.00842	0.009967	0.01185
LW	Total phosphorus	FI	FISW_508	long	0.034	0.046	0.046	0.038	0.045	0.035	0.039	0.052	0.038	0.038	0.046	0.044	0.045	0.043		0.036	0.0345	0.0398	0.0416	0.041	0.038	0.0368	0.0379	0.0316	0.034	0.0335	0.033667
LW	Total phosphorus	FI	FISW_511	short	0.01		0.012	0.011					0.013	0.011	0.011	0.014	0.012		0.01		0.0108	0.0124			0.011			0.01275			0.01375
LW	Total phosphorus	FI	FISW_514	long	0.014	0.015	0.016	0.014	0.019	0.013	0.012	0.015	0.016	0.014		0.019	0.018	0.017	0.018	0.017	0.0163	0.0184	0.0164	0.0163	0.0137	0.0127			0.011967	0.011833	0.014667
LW	Total phosphorus	FI	FISW_515	long			0.006	0.007		0.005		0.005	0.005				0.005	0.005		0.004	0.0053	0.0046			0.0047			0.004			0.004533
LW	Total phosphorus	FI	FISW_517	long	0.005	0.006	0.006	0.006	0.006		0.005	0.005	0.006	0.006	0.006	0.005	0.005	0.006	0.005	0.005	0.0056	0.0055	0.0051	0.0061	0.0063	0.0062	0.0073	0.005222	0.004614	0.005467	0.005317
LW	Total phosphorus	FI	FISW_521	long	0.006	0.008	0.01	0.011	0.008	0.004	0.008	0.008	0.006		0.005		0.009			0.004	0.0043	0.004	0.0045	0.0048	0.005	0.0049	0.0053	0.0076	0.00456	0.0048	0.005375
LW	Total phosphorus	FI	FISW_522	long	0.016	0.018	0.015	0.016	0.016	0.015	0.018	0.017	0.014	0.015	0.015	0.013	0.011	0.012	0.014	0.012	0.0114	0.0117	0.0129	0.0105	0.0135	0.0148	0.014	0.012	0.013333	0.012	0.008667
LW	Total phosphorus	FI	FISW_524	long	0.012	0.012	0.011	0.011	0.013	0.011	0.012	0.01	0.011	0.013	0.011	0.017	0.016	0.015	0.012	0.01	0.0169	0.0116	0.0088	0.0088	0.0093	0.0088	0.0073	0.0095	0.0073	0.007367	0.007867
LW	Total phosphorus	FI	FISW_530	long	0.02		0.024	0.019		0.018	0.017		0.02	0.018	0.019		0.02	0.021		0.016		0.016			0.0193			0.0155			0.016667
LW	Total phosphorus	FI	FISW_535	long	0.01	0.011	0.008		0.008	0.009	0.009	0.005	0.009	0.004	0.008	0.011	0.006	0.008	0.009	0.008	0.0075	0.0073		0.0155	0.012		0.0145	0.0025	0.008167	0.011	0.013
LW	Total phosphorus	FI	FISW_544	long	0.014	0.02	0.017	0.014	0.014	0.015	0.012	0.016		0.016	0.014	0.018	0.014	0.015	0.015	0.012	0.0133	0.0153	0.016	0.015	0.014	0.0175	0.017	0.008	0.0125	0.016	0.0108
LW	Total phosphorus	FI	FISW_546	long	0.008	0.007	0.01	0.008	0.009		0.006	0.007	0.006			0.006			0.007	0.006	0.0061	0.0056	0.0064	0.0057	0.0059	0.0061	0.0066	0.006333	0.00775	0.007037	0.006343
LW	Total phosphorus	FI	FISW_549	long		0.012	0.014	0.009		0.01	0.01	0.01	0.012	0.011	0.01	0.011	0.011	0.013	0.011	0.01	0.0094	0.0099	0.0092	0.0078	0.0073	0.0083			0.007	0.0107	0.007833
LW	Total phosphorus	FI	FISW_556	long		0.008	0.007			0.005		0.006				0.006	0.005	0.006		0.005	0.0058		0.008			0.0065	0.0089	0.004167	0.003613	0.0043	0.005213
LW	Total phosphorus	FI	FISW_563	long	0.013	0.014	0.017	0.018	0.017	0.013		0.013		0.012		0.011	0.012	0.022		0.012	0.0175	0.0136	0.0133	0.0102	0.011	0.0133	0.011	0.0095	0.010367	0.013933	0.013667
LW	Total phosphorus	FI	FISW_576	long	0.006	0.005	0.004			0.007	0.005		0.005	0.006	0.004	0.004	0.005		0.004	0.003	0.0045	0.0043	0.0048	0.0043	0.0037	0.004	0.0053		0.003	0.005867	0.002533
LW	Total phosphorus	FI	FISW_577	short	0.019								0.025	0.024	0.033	0.026	0.027	0.029	0.028			0.0285			0.0237				0.0225		
LW	Total phosphorus	FI	FISW_578	long	0.019	0.02	0.021	0.024	0.024	0.021	0.024	0.021	0.018	0.018	0.016	0.019	0.017	0.02	0.02	0.018	0.0198	0.0202	0.0188	0.0158	0.018	0.02	0.0194	0.022375	0.023125	0.0182	0.021
LW	Total phosphorus	FI	FISW_583	long	0.013	0.019	0.018	0.014	0.013	0.014	0.013	0.016	0.014	0.013			0.013	0.019			0.0139			0.0143				0.008667			0.0103
LW	Total phosphorus	FI	FISW_584	long			0.008	0.008	0.007	0.007			0.008	0.008		0.007	0.007	0.007		0.006	0.007			0.0053			0.008	0.0075			0.007567
LW	Total phosphorus	FI	FISW_586	long	0.043	0.039		0.038	0.03	0.03	0.026	0.039	0.035	0.032	0.026	0.023	0.031	0.061	0.035	0.026	0.0334	0.0388	0.034	0.019	0.0323	0.04	0.0247	0.031	0.039	0.036	0.026
LW	Total phosphorus	FI	FISW_590	short	0.004	0.005			0.007					0.005			0.004	0.004	0.004		0.0044			0.0043			0.0047	0.004			0.0033
LW	Total phosphorus	FI	FISW_591	long		0.006		0.007	0.006		0.006		0.006	0.007	0.005		0.006	0.006	0.006		0.0058			0.004			0.0043	0.005333			0.0054
LW	Total phosphorus	FI	FISW_593	long		0.008	0.008		0.009	0.008	0.007		0.01	0.009	0.008	0.007	0.007	0.009	0.008	0.007	0.0085			0.008			0.0067	0.007			0.007
LW	Total phosphorus	FI	FISW_594	long	0.023	0.022		0.02			0.025		0.024	0.027	0.021	0.02		0.026	0.022	0.025	0.0245	0.0272	0.0242	0.0367	0.0213		0.02		0.019	0.017	0.0165
LW	Total phosphorus	FI	FISW_596	long	0.016	0.016		0.016	0.016	0.014	0.021	0.02	0.018	0.015	0.015	0.013	0.013	0.017	0.021	0.015	0.0186	0.0178	0.0198	0.0177	0.0193	0.0207			0.020333		
LW	Total phosphorus	FI	FISW_598	long	0.02	0.019	0.019	0.02		0.02	0.018	0.022	0.022	0.022	0.017	0.021	0.022	0.021	0.025	0.019	0.0207	0.0224	0.0206	0.0176	0.0196	0.0205	0.019	0.0155	0.0185	0.02	0.0175
LW	Total phosphorus	FI	FISW_601	long	0.029	0.034	0.043	0.033	0.032	0.035	0.027	0.036	0.041	0.035	0.032	0.035	0.029	0.058	0.067	0.088	0.0304	0.0333	0.0261	0.0243	0.0297	0.026	0.0228	0.013333	0.012625	0.014975	0.015
LW	Total phosphorus	FI	FISW_602	long	0.004	0.007	0.006	0.005	0.006	0.006	0.006	0.01	0.006	0.006	0.007	0.005	0.006	0.006	0.007	0.007	0.0083	0.0082	0.006	0.006	0.0077	0.0085	0.007	0.00475	0.0059	0.0047	0.00565
LW	Total phosphorus	FI	FISW_604	long	0.027	0.029	0.022	0.027	0.025	0.037	0.029	0.033	0.03	0.035	0.032	0.02	0.018	0.031	0.026	0.028	0.0331	0.048	0.0301	0.027	0.0296	0.024	0.022	0.022	0.0311	0.024	0.0294
LW	Total phosphorus	FI	FISW_609	long	0.016	0.016	0.012	0.011		0.021	0.014	0.012	0.013	0.016	0.013	0.013	0.011	0.014	0.013	0.013	0.0158	0.0196	0.0123	0.0143	0.0193	0.0125	0.0137	0.01	0.007725	0.010875	0.009425
LW	Total phosphorus	FI	FISW_611	long		0.003			0.003		0.003				0.002			0.003	0.004	0.003	0.0035	0.0037	0.0032	0.0047	0.0047		0.0015	0.002333	0.003425	0.0037	0.002425
LW	Total phosphorus	FI	FISW_612	long		0.009	0.004	0.008	0.006	0.007	0.008	0.01	0.01	0.005	0.006		0.009	0.004	0.006	0.005	0.0072	0.0052			0.0045	0.007	0.0078	0.007	0.005667	0.005	0.007333
LW	Total phosphorus	FI	FISW_614	short						0.037	0.024			0.03		0.028	0.032	0.05	0.041	0.038	0.0365	0.043	0.0682	0.0545	0.0347	0.046	0.0812	0.027667	0.0335		
LW	Total phosphorus	FI	FISW_615	long		0.05	0.045	0.043	0.042	0.042	0.036	0.042	0.045	0.044	0.046	0.033	0.033	0.04	0.035	0.04	0.0368	0.0465	0.042	0.0225	0.0353	0.0388	0.0445	0.034	0.032	0.036667	0.034
LW	Total phosphorus	FI	FISW_62	long	0.039	0.03			0.036	0.035	0.026	0.029	0.024	0.025	0.037	0.025	0.019	0.023	0.023	0.036	0.0218	0.0228	0.0277	0.0247	0.0232	0.0217	0.0108	0.019667	0.01925	0.019333	
LW	Total phosphorus	FI	FISW_620	long	0.016	0.014		0.02	0.015	0.013	0.013	0.015	0.015	0.017	0.015	0.017	0.022	0.023	0.019	0.021	0.0251	0.0258	0.0242	0.0278	0.034	0.047	0.0356	0.023	0.024	0.0262	0.0264
LW	Total phosphorus	FI	FISW_622	long	0.026	0.018	0.107	0.023	0.158	0.023	0.064	0.025	0.035	0.023	0.031	0.046	0.014	0.018	0.025	0.02	0.0182	0.0179	0.0294	0.027	0.013	0.0207	0.025	0.023	0.0182	0.015	0.02
LW	Total phosphorus	FI	FISW_626	long	0.013	0.007				0.032	0.009	0.015	0.009	0.014		0.077	0.011	0.013	0.02	0.009	0.0079	0.0208	0.0104	0.0135	0.008	0.0095	0.0119	0.0125	0.007	0.008333	0.006
LW	Total phosphorus	FI	FISW_627	long	0.057	0.063	0.063	0.039	0.07	0.043	0.036	0.05		0.041		0.087	0.037	0.048	0.056	0.036	0.035	0.072	0.034	0.0411	0.0493	0.0294	0.0403	0.0234	0.024556	0.021833	0.024833
LW	Total phosphorus	FI	FISW_63	long	0.024	0.019	0.021		0.018	0.018	0.015	0.018	0.012	0.014		0.019	0.013	0.016	0.02	0.019	0.014	0.0129	0.015	0.0195	0.0162	0.0177	0.0118	0.0195	0.01275	0.013333	
LW	Total phosphorus	FI	FISW_651	long	0.015	0.012	0.014	0.02	0.014		0.015	0.015	0.018	0.02	0.016	0.017	0.018	0.022	0.019	0.016	0.0165	0.029	0.0193	0.0198	0.0227	0.0261		0.016			
LW	Total phosphorus	FI	FISW_657	long		0.011		0.014	0.01	0.01	0.011			0.011		0.011	0.012	0.014	0.011	0.012	0.0185	0.0141	0.0119	0.02	0.016	0.0154	0.0144	0.016	0.015	0.013	0.0145
LW	Total phosphorus	FI	FISW_667	long	0.04	0.028	0.027	0.014	0.017		0.016	0.021	0.023	0.031	0.031	0.029	0.019	0.032	0.03	0.033	0.0334	0.0453	0.0435	0.0372	0.0333	0.0235	0.0355			0.03175	
LW	Total phosphorus	FI	FISW_673	long		0.016	0.017	0.017	0.018	0.021		0.017	0.029	0.015	0.016	0.015	0.016	0.015	0.014	0.012	0.0139	0.0127	0.0139	0.0123	0.0121	0.0136	0.0106		0.01625	0.014333	0.012625
LW	Total phosphorus	FI	FISW_675	long	0.024	0.022	0.021	0.019	0.017	0.02	0.018	0.017	0.02	0.021	0.019	0.016	0.019	0.018	0.014	0.019	0.0159	0.0163	0.0164	0.0155	0.0163	0.0199	0.0153		0.019167	0.0177	0.016429
LW	Total phosphorus	FI	FISW_676	long	0.018	0.015	0.017	0.015	0.019	0.018	0.017	0.016	0.022	0.021	0.019	0.024	0.019	0.017	0.015	0.014	0.0132	0.0139	0.0189	0.0104	0.0117	0.0117	0.0174		0.016667	0.015556	0.013
LW	Total phosphorus	FI	FISW_677	long	0.014	0.012	0.012	0.012	0.011	0.012	0.012	0.012	0.013	0.012	0.01	0.011		0.012	0.011	0.009	0.0103	0.0104	0.0092	0.0068	0.0085	0.0098	0.012		0.014875		0.012875
LW	Total phosphorus	FI	FISW_678	long	0.014	0.014	0.01	0.009	0.008	0.011	0.009		0.008	0.011	0.011	0.011	0.014		0.01	0.01	0.0127	0.0187	0.0111	0.0099	0.013	0.0095	0.0107	0.00745	0.0078	0.0115	0.0088
LW	Total phosphorus	FI	FISW_680	long	0.03	0.031	0.028	0.028	0.034		0.029	0.022	0.027	0.022	0.025	0.028	0.026	0.021	0.023	0.016	0.018	0.0169	0.022	0.0215	0.0223	0.0277	0.0178		0.0195	0.0215	0.017
LW	Total phosphorus	FI	FISW_684	long			0.088			0.057			0.05	0.05	0.054	0.104	0.053	0.064	0.056	0.053	0.0657	0.0538	0.0695	0.0517	0.046	0.0561			0.06425		
LW	Total phosphorus	FI	FISW_685	long		0.019		0.014	0.017	0.011	0.012	0.01	0.011	0.012		0.012	0.013	0.023	0.011	0.01	0.0123	0.0103	0.0123	0.01	0.011	0.0105	0.0104	0.010167	0.009343	0.00948	0.01212
LW	Total phosphorus	FI	FISW_689	long	0.029	0.034	0.029	0.029	0.035	0.031	0.037	0.046	0.038		0.037	0.04	0.033	0.033	0.039	0.031	0.0315	0.0277	0.0295	0.031	0.0228	0.0378	0.0435	0.027167	0.0314	0.035333	0.031
LW	Total phosphorus	FI	FISW_691	long	0.029		0.036	0.033	0.037	0.031	0.035	0.032		0.038		0.027	0.027	0.032		0.025	0.0291	0.0301	0.0253	0.0198	0.034	0.0272	0.0232	0.0185	0.0195	0.0195	0.025
LW	Total phosphorus	FI	FISW_693	long	0.045	0.052	0.042	0.035	0.03	0.029	0.03	0.036	0.03	0.04	0.031	0.033	0.043	0.038	0.046	0.038	0.0327	0.0325	0.0424	0.0377	0.0611	0.0394	0.0808	0.0394	0.04	0.034	0.0394
LW	Total phosphorus	FI	FISW_699	long	0.062	0.092	0.06	0.062	0.071	0.056	0.062	0.096	0.06	0.054	0.06	0.045	0.057	0.066	0.06	0.056	0.0601	0.0564	0.0578	0.0631	0.0654	0.053	0.0472	0.0486	0.054333	0.043	0.044
LW	Total phosphorus	FI	FISW_719	long	0.057	0.067	0.057	0.054	0.047	0.064	0.054	0.053	0.046	0.078	0.073	0.068	0.056	0.056	0.065	0.069	0.0763	0.07	0.079	0.0833	0.0937	0.1065	0.0805	0.066333			
LW	Total phosphorus	FI	FISW_728	long	0.035				0.078	0.097	0.063	0.06	0.045	0.047	0.051	0.064	0.05	0.039	0.048	0.051	0.0524	0.045	0.0488	0.0513	0.0668		0.054	0.0465	0.0545	0.058667	0.065
LW	Total phosphorus	FI	FISW_734	long	0.109				0.054	0.08	0.072	0.107	0.065	0.086	0.152	0.097	0.081	0.111	0.095	0.107	0.1285	0.1344	0.124	0.0823	0.1069	0.1007	0.1207	0.085833	0.0695	0.081167	0.081167
LW	Total phosphorus	FI	FISW_916	long	0.008	0.009	0.006	0.009		0.008	0.009	0.01	0.007		0.009	0.008	0.01	0.009	0.011	0.008	0.0102		0.013			0.0129		0.01115	0.010625	0.0097	0.009
LW	Total phosphorus	FI	FISW_919	long	0.013	0.015	0.013	0.015	0.012	0.014	0.012	0.013	0.014	0.017	0.016	0.01	0.01	0.015	0.016	0.012	0.0133			0.0125			0.0131	0.015	0.013167	0.012933	0.013714
LW	Total phosphorus	FI	FISW_921	short							0.012		0.01	0.013		0.01	0.011		0.013	0.012	0.0115	0.0127	0.0129	0.0175	0.012	0.0102	0.0125	0.0095		0.0113	
LW	Total phosphorus	FI	FISW_922	long	0.023	0.064	0.033	0.025		0.028	0.025	0.03	0.03	0.02	0.019	0.021	0.027	0.026	0.022	0.022	0.0216		0.0246			0.0343			0.014667		
LW	Total phosphorus	FI	FISW_923	long	0.012	0.013	0.016	0.014	0.016	0.014	0.015	0.015	0.015	0.015	0.013	0.015	0.017				0.0177	0.0154	0.0145	0.0164	0.014	0.0152	0.0146	0.013167	0.0142	0.015333	0.0134
LW	Total phosphorus	FI	FISW_924	long	0.032	0.026	0.034	0.052	0.031				0.037	0.038	0.036	0.036	0.036		0.034	0.034	0.0378	0.0388	0.0374	0.0322	0.032	0.0322	0.0278	0.025			0.023333
LW	Total phosphorus	FI	FISW_925	long	0.015		0.019	0.017	0.019	0.019		0.021		0.018				0.025	0.017	0.015	0.0166			0.017			0.0132			0.012	
LW	Total phosphorus	FI	FISW_927	long	0.011	0.012	0.012	0.019	0.021	0.014	0.015	0.018	0.02	0.013	0.013	0.01	0.009	0.012	0.01	0.009	0.0112	0.0124	0.0108	0.0102	0.0135	0.0087	0.01	0.0085	0.007733	0.007867	0.007867
LW	Total phosphorus	FI	FISW_928	long		0.008	0.014	0.011	0.017			0.016	0.015	0.013	0.009	0.01	0.008		0.01	0.017	0.0106	0.0096	0.0116	0.0078	0.0083	0.0077	0.0107	0.0095			0.0093
LW	Total phosphorus	FI	FISW_931	long	0.014	0.014	0.014	0.015	0.014		0.016		0.016	0.015	0.016	0.016	0.015	0.015	0.018	0.014	0.0162	0.019	0.0174	0.0194	0.0196	0.021	0.0213	0.017	0.017		
LW	Total phosphorus	FI	FISW_932	long				0.008			0.009	0.01	0.01	0.011	0.01	0.013	0.01	0.014		0.009			0.0096			0.0127			0.0134		
LW	Total phosphorus	FI	FISW_933	long		0.018	0.029	0.018	0.017	0.018	0.018	0.019	0.02	0.023	0.025	0.038	0.023	0.017			0.0234			0.0253	0.0225	0.0207	0.0187	0.0155	0.0189		0.01875
LW	Total phosphorus	FI	FISW_938	long		0.012	0.015	0.012	0.013	0.01		0.011	0.012	0.01	0.012	0.012	0.011	0.009		0.014		0.0122			0.014			0.010667		0.009225	
LW	Total phosphorus	FI	FISW_940	long		0.006	0.006	0.005	0.004			0.005	0.006		0.007		0.006	0.005	0.008	0.007	0.0072	0.0066	0.0064	0.0083	0.0081	0.0113	0.008	0.008	0.006486	0.005567	0.0056
LW	Total phosphorus	FI	FISW_941	short						0.008			0.01	0.011	0.008		0.008	0.012	0.01	0.007		0.0102			0.0127			0.0105			
LW	Total phosphorus	FI	FISW_975	long	0.072	0.123	0.095	0.059	0.067	0.099	0.091	0.079	0.065	0.064	0.131	0.129	0.068	0.059	0.055	0.066	0.0572	0.0546	0.0498	0.051	0.046	0.0658	0.0338	0.047667	0.062333	0.065	0.042
LW	Total phosphorus	FI	FISW_976	long	0.012	0.012		0.014	0.01	0.013		0.012		0.014	0.015	0.014	0.012	0.015		0.011		0.0141			0.0155			0.014	0.01625		
LW	Total phosphorus	FI	FISW_987	long	0.009	0.008	0.006		0.008	0.005			0.009	0.009	0.009	0.008	0.007	0.009	0.014	0.009	0.0127			0.0123			0.0114	0.005		0.0088	
LW	Total phosphorus	FI	FISW_991	long	0.027	0.047		0.046	0.033	0.024	0.025	0.036	0.043	0.046	0.03	0.029	0.027	0.024			0.0292	0.0204	0.0379	0.0381	0.0322		0.0211	0.032	0.0352	0.031667	0.0232
LW	Total phosphorus	FR	FRGR04177320	short						0.1244	0.1308	0.0583	0.0307	0.0225		0.050833		0.0125	0.009583	0.01125	0.02	0.01525	0.02		0.006667	0.019667	0.007	0.015333	0.008333	0.013333	0.005
LW	Total phosphorus	HR	HR19001	short												0.019			0.0146	0.0043	0.0088	0.005	0.0087		0.0124	0.011167		0.011688	0.013909	0.014875	
LW	Total phosphorus	HR	HR40316	short												0.0317		0.0163	0.015	0.011	0.0241	0.0208	0.0096				0.017667		0.0124	0.0224	
LW	Total phosphorus	HR	HR40420	short												0.0375	0.022	0.0153	0.019	0.009	0.0092	0.0111	0.013			0.0265			0.0066	0.020444	
LW	Total phosphorus	LT	LTL34	long		0.02	0.0256		0.0292		0.018	0.0343	0.0167	0.0138	0.012	0.0113			0.013	0.014			0.028833	0.024714	0.0539	0.04	0.019714	0.014143	0.011286	0.010857	0.013
LW	Total phosphorus	LT	LTL39	long			0.017	0.0167	0.0136	0.0195	0.0196	0.0205	0.017	0.0127	0.01	0.0132		0.0105	0.010401	0.007667	0.011667	0.009111	0.011	0.008357		0.006043	0.007171	0.009043	0.006036	0.005879	0.004843
LW	Total phosphorus	LT	LTL65	short								0.037	0.0173	0.0237	0.0097	0.0116		0.0245	0.024472	0.009222	0.009444	0.011222	0.013	0.012286	0.0095	0.007536	0.007457	0.008186	0.021164	0.01045	0.005864
LW	Total phosphorus	NL	NL89_STEENBGN	long	0.08	0.11	0.11	0.13	0.12	0.13	0.15	0.14	0.134375	0.106	0.14	0.162	0.184231	0.121		0.093077	0.141364	0.159048	0.153846	0.055833	0.06	0.081538	0.094615	0.087692			
LW	Total phosphorus	NL	NL92_EEMMDK23	long	0.6031	0.5358	0.4483	0.4142	0.305	0.32	0.3219	0.2487	0.23			0.247188	0.243077	0.161		0.199	0.242143	0.230769	0.23	0.1285	0.14	0.169231	0.153846	0.132308			
LW	Total phosphorus	NL	NL92_KETMWT	long	0.2015	0.2514	0.2245	0.19	0.1685	0.1746	0.2256	0.152	0.1525			0.173125	0.177692	0.144		0.142	0.178462	0.153077	0.150833	0.087667	0.092	0.092308	0.109231	0.093077			
LW	Total phosphorus	NL	NL92_MARKMMDN	long	0.1232	0.1075	0.1167	0.1608	0.1071	0.115	0.1375	0.1225	0.214				0.146538	0.088		0.057	0.088461	0.089231	0.0775	0.017	0.047	0.047692	0.035714	0.051538			
LW	Total phosphorus	NL	NL92_VELWMMDN	long	0.0862	0.095	0.0918	0.1083	0.0554	0.0425	0.0675	0.054	0.055			0.070625	0.086154	0.056		0.045	0.097857	0.104615	0.085	0.0145	0.02	0.028333	0.018462	0.022308			
LW	Total phosphorus	NL	NL92_VROUWZD	long	0.1557	0.1308	0.1733	0.1392	0.1338	0.1446	0.1337	0.1275	0.1407			0.109375	0.217692	0.111		0.077	0.099231	0.162308	0.041	0.036833	0.048	0.061429	0.056923	0.056923			
LW	Total phosphorus	NO	NO002-28193	long	0.004625	0.005154	0.005733	0.005869	0.00655	0.006983	0.004592	0.005033	0.00485	0.004933	0.004267	0.003558	0.003992	0.003675	0.003083	0.003367	0.004	0.005317	0.004492	0.006292	0.0041	0.005573	0.004533	0.0056	0.005047	0.002333	
LW	Total phosphorus	NO	NO012-30611	long			0.004225	0.004513	0.005688		0.003963	0.003363	0.004112	0.00478	0.00278	0.00318	0.00332	0.00316		0.0052		0.0048		0.0048				0.00512			
LW	Total phosphorus	NO	NO083-40950	short				0.001							0.000315		0.001	0.003	0.001667	0.000833	0.001167	0.002	0.002444	0.0033	0.00165	0.00165	0.001667	0.003	0.002	0.001	
LW	Total phosphorus	PL	PL01S0202_0057	short									0.08	0.086	0.093	0.084	0.113	0.071	0.0584	0.058833	0.054	0.054833	0.055167	0.052833	0.060833	0.055333	0.037833	0.052167			0.035
LW	Total phosphorus	PL	PL01S0202_0061	short								0.043	0.047	0.054	0.058	0.058	0.066	0.061	0.0491	0.0535	0.047	0.039833	0.048833	0.034333	0.044167	0.04275	0.028667	0.032833			0.020667
LW	Total phosphorus	PL	PL01S0302_0193	short								0.04	0.033		0.039	0.053	0.027	0.024	0.030714	0.026	0.024333	0.025286	0.0185	0.021	0.0145	0.009	0.011333	0.0085			0.015667
LW	Total phosphorus	PL	PL01S0302_0232	short								0.037	0.04	0.044	0.041	0.031	0.033	0.027	0.027667	0.035833	0.04	0.034833	0.030667	0.041167	0.054167	0.039167	0.042333	0.034833			0.043833
LW	Total phosphorus	PL	PL01S1102_0646	short								0.106	0.033	0.028	0.031				0.021429			0.016714	0.019143	0.0025	0.018083	0.037333	0.016417	0.003917			0.0275
LW	Total phosphorus	PL	PL02S0402_0141	short								0.043	0.073	0.07	0.036	0.089	0.058	0.034	0.084286	0.056	0.07075	0.066333	0.055333	0.069833	0.052667	0.050583	0.0482	0.126333			0.039667
LW	Total phosphorus	PL	PL02S0502_0182	short								0.068	0.093	0.043	0.083	0.075	0.064	0.036	0.031971	0.04675	0.127	0.033286	0.022714		0.076063	0.05125	0.188	0.081167			0.050667
LW	Total phosphorus	PL	PL02S0502_0294	short								0.024	0.025	0.028	0.024	0.051	0.024	0.021	0.034786	0.028625	0.03025	0.0345	0.031875	0.035		0.0347	0.020133	0.0302			0.020933
LW	Total phosphorus	PL	PL07S0802_0001	short								0.041	0.04	0.027	0.031	0.024	0.029	0.023	0.0245	0.026	0.029375	0.012857	0.024143	0.0245	0.022286	0.017167	0.0115	0.011667			0.026917
LW	Total phosphorus	RO	RO14283	short												0.028		0.0312	0.058	0.0831	0.0559	0.1356	0.074	0.0904	0.085	0.076		0.063			
